Track,Panel Title,Panel Description,Panelist,Date Time,Room
Main,JordanCon Opening Ceremonies,Welcome to our fifth annual JordanCon Opening Ceremonies Extravaganza!,Leigh Butler,4/19/13 13:00,Great Oaks ABC
Special Events,Brandon Sanderson Signing,,,4/19/13 16:00,Boardroom
Special Events,Michael Whelan Kaffeeklatch,,,4/19/13 17:30,Boardroom
Special Events,Writer's Round Table/Peer Review,"Bring a short bit of  your writing (5 pages tops), and get some peer review and thoughts.",,4/19/13 20:30,Boardroom
Writers,"An Hour with the Guest of Honor
",Come spend some time with this year's JordanCon Guest of Honor.,"Seanan McGuire, Leigh Butler",4/19/13 14:30,Great Oaks A
Potpourri,"Sci-Fi & Paranormal Hour
",What do ghosts and aliens have in common? This panel! An hour dedicated to outer space and things that go bump in the night.,"Alex Hughes, Delilah S. Dawson, Stuart Jaffe",4/19/13 14:30,Great Oaks B
World of the Wheel,Illian's National Trivia Bee,Individual Wheel of Time trivia.  Come test your WoT knowledge!,Jen Halbman,4/19/13 14:30,Great Oaks C
Gaming,Open Gaming,"Have a game you absolutely love or looking for something new? Drop by to play or schedule a time to share it with friends, new and old!",,4/19/13 14:30,Goulding AB
Hodgepodge,Art in the Wheel,"When your art depicts another’s creation, you have to satisfy Creator AND audience. Join us for a view into the creative process that produces great art in someone's else's world.","Michael Whelan, Paul Bielaczyc",4/19/13 14:30,Goulding C
Gaming,Open Gaming,"Have a game you absolutely love or looking for something new? Drop by to play or schedule a time to share it with friends, new and old!",,4/19/13 16:00,Goulding AB
Gaming,Open Gaming,"Have a game you absolutely love or looking for something new? Drop by to play or schedule a time to share it with friends, new and old!",,4/19/13 17:30,Goulding AB
Hodgepodge,Listener's Questions,4th Age podcast answers questions from the audience.,4th Age podcast,4/19/13 16:00,Goulding C
Hodgepodge,History of Atlanta Fandom,"Atlanta's con scene once included more than just Dragon*Con. Reminisce about Atlanta Comics & Fantasy Faire, Dixie Trek, and more!","Sue Phillips, M. Lee Rogers, Ron Zukowski, Ned Brooks",4/19/13 17:30,Goulding C
Hodgepodge,The Grave is No Bar To My Looney Theories,Looney theories still abound!  Give us your wildest theories post-AMOL.,"Kristy Lussier, Sarah Nakamura, Billy Todd, Matt Hatch, Alan Romanczuk",4/19/13 20:30,Goulding C
Writers,Marketing Yourself,"Hear from self-published, small-press, and big press on the ins and outs of selling yourself and your work.","Laura Fitzgerald, John Hartness, Deb Dixon, Jana Oliver",4/19/13 16:00,Great Oaks A
Potpourri,The Way of Kings,A panel dedicated to The Way of Kings and the sequel we will hopefully see this fall.,"Rachel Little, Steve Godecke",4/19/13 16:00,Great Oaks B
World of the Wheel,Prophecies,Which were significant and which were red herrings?  Join in and discuss how they were fulfilled.,"James Starke, Maria Simons, Linda Taglieri, Thom DeSimone",4/19/13 16:00,Great Oaks C
Writers,Religion in your World,"What roles can and should religion and spirituality play in your world, whether a secondary world or set on Earth?","Brandon Sanderson, Delilah S. Dawson, Stuart Jaffe, Seanan McGuire, Anthony Taylor, Alex Bledsoe",4/19/13 17:30,Great Oaks A
